source,source_url,project_name,full_name,description,stars,forks,language,topics,owner_type,license
"GitHub","https://github.com/OpenHands/OpenHands","OpenHands","OpenHands/OpenHands","🙌 OpenHands: AI-Driven Development","67915","8457","Python","agent, artificial-intelligence, chatgpt, claude-ai, cli, developer-tools, gpt, llm, openai","Organization","Other"
"GitHub","https://github.com/hiyouga/LlamaFactory","LlamaFactory","hiyouga/LlamaFactory","Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)","67335","8187","Python","agent, ai, deepseek, fine-tuning, gemma, gpt, instruction-tuning, large-language-models, llama, llama3, llm, lora, moe, nlp, peft, qlora, quantization, qwen, rlhf, transformers","User","Apache License 2.0"
"GitHub","https://github.com/FoundationAgents/MetaGPT","MetaGPT","FoundationAgents/MetaGPT","🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming","64270","8075","Python","agent, gpt, llm, metagpt, multi-agent","Organization","MIT License"
"GitHub","https://github.com/OpenBB-finance/OpenBB","OpenBB","OpenBB-finance/OpenBB","Financial data platform for analysts, quants and AI agents.","60441","5893","Python","ai, crypto, derivatives, economics, equity, finance, fixed-income, machine-learning, openbb, options, python, quantitative-finance, stocks","Organization","Other"
"GitHub","https://github.com/Mintplex-Labs/anything-llm","anything-llm","Mintplex-Labs/anything-llm","The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, No-code agent builder, MCP compatibility,  and more.","54684","5877","JavaScript","ai-agents, custom-ai-agents, deepseek, kimi, llama3, llm, lmstudio, local-llm, localai, mcp, mcp-servers, moonshot, multimodal, no-code, ollama, qwen3, rag, vector-database, web-scraping","Organization","MIT License"
"GitHub","https://github.com/microsoft/autogen","autogen","microsoft/autogen","A programming framework for agentic AI","54615","8226","Python","agentic, agentic-agi, agents, ai, autogen, autogen-ecosystem, chatgpt, framework, llm-agent, llm-framework","Organization","Creative Commons Attribution 4.0 International"
"GitHub","https://github.com/microsoft/ai-agents-for-beginners","ai-agents-for-beginners","microsoft/ai-agents-for-beginners","12 Lessons to Get Started Building AI Agents","50740","17770","Jupyter Notebook","agentic-ai, agentic-framework, agentic-rag, ai-agents, ai-agents-framework, autogen, generative-ai, semantic-kernel","Organization","MIT License"
"GitHub","https://github.com/FlowiseAI/Flowise","Flowise","FlowiseAI/Flowise","Build AI Agents, Visually","49163","23716","TypeScript","agentic-ai, agentic-workflow, agents, artificial-intelligence, chatbot, chatgpt, javascript, langchain, large-language-models, low-code, multiagent-systems, no-code, openai, rag, react, typescript, workflow-automation","Organization","Other"
"GitHub","https://github.com/mem0ai/mem0","mem0","mem0ai/mem0","Universal memory layer for AI Agents","47526","5270","Python","agents, ai, ai-agents, application, chatbots, chatgpt, genai, llm, long-term-memory, memory, memory-management, python, rag, state-management","Organization","Apache License 2.0"
"GitHub","https://github.com/jeecgboot/JeecgBoot","JeecgBoot","jeecgboot/JeecgBoot","【AI低代码平台】AI low-code platform empowers enterprises to quickly develop low-code solutions and build AI applications.  助力企业快速实现低代码开发和构建AI应用！ AI应用平台涵盖：AI应用、AI模型、AI聊天助手、知识库、AI流程编排、MCP和插件，聊天式业务操作等。 强大代码生成器：实现前后端一键生成，无需手写代码! 显著提升效率节省成本，又不失灵活~","45244","15823","Java","activiti, agent, ai, aiflow, ant-design-vue, antd, codegenerator, deepseek, flowable, langchain4j, llm, low-code, mcp, mybatis-plus, rag, spring-ai, springboot, springboot3, springcloud, vue3","Organization","Apache License 2.0"
"GitHub","https://github.com/crewAIInc/crewAI","crewAI","crewAIInc/crewAI","Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","44255","5935","Python","agents, ai, ai-agents, aiagentframework, llms","Organization","MIT License"
"GitHub","https://github.com/CherryHQ/cherry-studio","cherry-studio","CherryHQ/cherry-studio","AI productivity studio with smart chat, autonomous agents, and 300+ assistants. Unified access to frontier LLMs","39905","3674","TypeScript","ai-agent, claude-code, code-agent, codex, openclaw, opencode, shannon, skills, superpowers, superpowers-core-skills, vibe-coding","Organization","GNU Affero General Public License v3.0"
"GitHub","https://github.com/agno-agi/agno","agno","agno-agi/agno","The programming language for agentic software. Build multi-agent systems with streaming, memory, governance, and request isolation.","37919","5019","Python","agents, ai, ai-agents, developer-tools, python","Organization","Apache License 2.0"
"GitHub","https://github.com/microsoft/qlib","qlib","microsoft/qlib","Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process.","37487","5824","Python","algorithmic-trading, auto-quant, deep-learning, finance, fintech, investment, machine-learning, paper, platform, python, quant, quant-dataset, quant-models, quantitative-finance, quantitative-trading, research, research-paper, stock-data","Organization","MIT License"
"GitHub","https://github.com/ToolJet/ToolJet","ToolJet","ToolJet/ToolJet","ToolJet is the open-source foundation of ToolJet AI - the AI-native platform for building internal tools, dashboard, business applications, workflows and AI agents 🚀","37438","4946","JavaScript","ai-app-builder, docker, hacktoberfest, internal-applications, internal-project, internal-tool, internal-tools, javascript, kubernetes, low-code, low-code-development-platform, low-code-framework, no-code, nodejs, reactjs, self-hosted, typescript, web-development-tools, workflow-automation","Organization","GNU Affero General Public License v3.0"
"GitHub","https://github.com/reworkd/AgentGPT","AgentGPT","reworkd/AgentGPT","🤖 Assemble, configure, and deploy autonomous AI Agents in your browser.","35712","9449","TypeScript","agent, agentgpt, agents, agi, ai, ai-agents, autogpt, baby-agi, gpt, langchain, llm, next, openai, t3, t3-stack","Organization","GNU General Public License v3.0"
"GitHub","https://github.com/danny-avila/LibreChat","LibreChat","danny-avila/LibreChat","Enhanced ChatGPT Clone: Features Agents, MCP, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active.","33914","6824","TypeScript","ai, anthropic, artifacts, aws, azure, chatgpt, chatgpt-clone, claude, clone, deepseek, gemini, google, gpt-5, librechat, mcp, o1, openai, responses-api, vision, webui","User","MIT License"
"GitHub","https://github.com/alibaba/nacos","nacos","alibaba/nacos","an easy-to-use dynamic service discovery, configuration and service management platform for building AI cloud native applications.","32637","13255","Java","a2a-registry, agent, ai-registry, configuration-management, distributed-configuration, dns, dubbo, istio, kubernetes, mcp, mcp-management, mcp-registry, microservices, nacos, prompt, skills, spring-cloud","Organization","Apache License 2.0"
"GitHub","https://github.com/khoj-ai/khoj","khoj","khoj-ai/khoj","Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free.","32515","1963","Python","agent, ai, assistant, chat, chatgpt, emacs, image-generation, llama3, llamacpp, llm, obsidian, obsidian-md, offline-llm, productivity, rag, research, self-hosted, semantic-search, stt, whatsapp-ai","Organization","GNU Affero General Public License v3.0"
"GitHub","https://github.com/code-yeongyu/oh-my-opencode","oh-my-opencode","code-yeongyu/oh-my-opencode","the best agent harness","32043","2403","TypeScript","ai, ai-agents, amp, anthropic, chatgpt, claude, claude-code, claude-skills, cursor, gemini, ide, openai, opencode, orchestration, tui, typescript","User","Other"
"GitHub","https://github.com/continuedev/continue","continue","continuedev/continue","⏩ Source-controlled AI checks, enforceable in CI. Powered by the open-source Continue CLI","31430","4169","TypeScript","agent, ai, claude, cli, cloud-agents, continuous-ai, developer-tools, gemini, gpt, llm, open-source, workflows","Organization","Apache License 2.0"
"GitHub","https://github.com/block/goose","goose","block/goose","an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM","30590","2767","Rust","mcp","Organization","Apache License 2.0"
"GitHub","https://github.com/patchy631/ai-engineering-hub","ai-engineering-hub","patchy631/ai-engineering-hub","In-depth tutorials on LLMs, RAGs and real-world AI agent applications.","29874","4820","Jupyter Notebook","agents, ai, llms, machine-learning, mcp, rag","User","MIT License"
"GitHub","https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk","Jobs_Applier_AI_Agent_AIHawk","feder-cr/Jobs_Applier_AI_Agent_AIHawk","AIHawk aims to easy job hunt process by automating the job application process. Utilizing artificial intelligence, it enables users to apply for multiple jobs in a tailored way.","29349","4466","Python","agent, application-resume, artificial-intelligence, automate, automation, bot, chatgpt, chrome, gpt, human-resources, job, jobs, jobsearch, jobseeker, opeai, python, resume, scraper, scraping, selenium","User","GNU Affero General Public License v3.0"
"GitHub","https://github.com/CopilotKit/CopilotKit","CopilotKit","CopilotKit/CopilotKit","The Frontend for Agents & Generative UI. React + Angular","28846","3739","TypeScript","agent, agent-native, agentic-ai, agents, ai, ai-agent, ai-assistant, assistant, assistant-chat-bots, copilot, copilot-chat, generative-ui, js, llm, nextjs, open-source, react, reactjs, ts, typescript","Organization","MIT License"
"GitHub","https://github.com/thedotmack/claude-mem","claude-mem","thedotmack/claude-mem","A Claude Code plugin that automatically captures everything Claude does during your coding sessions, compresses it with AI (using Claude's agent-sdk), and injects relevant context back into future sessions.","28826","1940","TypeScript","ai, ai-agents, ai-memory, anthropic, artificial-intelligence, chromadb, claude, claude-agent-sdk, claude-agents, claude-code, claude-code-plugin, claude-skills, embeddings, long-term-memory, mem0, memory-engine, openmemory, rag, sqlite, supermemory","User","Other"
"GitHub","https://github.com/nrwl/nx","nx","nrwl/nx","The Monorepo Platform that amplifies both developers and AI agents. Nx optimizes your builds, scales your CI, and fixes failed PRs automatically. Ship in half the time.","28163","2661","TypeScript","angular, build, build-system, build-tool, building-tool, cli, cypress, hacktoberfest, javascript, monorepo, nextjs, nodejs, nx, nx-workspaces, react, storybook, typescript","Organization","MIT License"
"GitHub","https://github.com/bytedance/UI-TARS-desktop","UI-TARS-desktop","bytedance/UI-TARS-desktop","The Open-Source Multimodal AI Agent Stack: Connecting Cutting-Edge AI Models and Agent Infra","28052","2732","TypeScript","agent, agent-tars, browser-use, computer-use, cowork, gui-agent, gui-operator, mcp, mcp-server, multimodal, tars, ui-tars, vision, vlm","Organization","Apache License 2.0"
"GitHub","https://github.com/labring/FastGPT","FastGPT","labring/FastGPT","FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration.","27130","6926","TypeScript","agent, claude, deepseek, llm, mcp, nextjs, openai, qwen, rag, workflow","Organization","Other"
"GitHub","https://github.com/ComposioHQ/composio","composio","ComposioHQ/composio","Composio equips your AI agents & LLMs with 100+ high-quality integrations via function calling","26611","4416","TypeScript","agentic-ai, agents, ai, ai-agents, aiagents, developer-tools, function-calling, gpt-4, javascript, js, llm, llmops, mcp, python, remote-mcp-server, sse, typescript","Organization","MIT License"
"GitHub","https://github.com/simstudioai/sim","sim","simstudioai/sim","Build, deploy, and orchestrate AI agents. Sim is the central intelligence layer for your AI workforce.","26446","3298","TypeScript","agent-workflow, agentic-workflow, agents, ai, aiagents, anthropic, artificial-intelligence, automation, chatbot, deepseek, gemini, low-code, nextjs, no-code, openai, rag, react, typescript","Organization","Apache License 2.0"
"GitHub","https://github.com/warpdotdev/Warp","Warp","warpdotdev/Warp","Warp is the agentic development environment, built for coding with multiple AI agents.","25945","615","null","bash, linux, macos, rust, shell, terminal, wasm, zsh","Organization","Other"
"GitHub","https://github.com/e2b-dev/awesome-ai-agents","awesome-ai-agents","e2b-dev/awesome-ai-agents","A list of AI autonomous agents","25859","2228","null","agent, ai, artificial-intelligence, autogpt, autonomous-agents, awesome, babyagi, copilot, gpt, gpt-4, gpt-engineer, openai, python","Organization","Other"
"GitHub","https://github.com/assafelovic/gpt-researcher","gpt-researcher","assafelovic/gpt-researcher","An autonomous agent that conducts deep research on any data using any LLM providers.","25341","3363","Python","agent, ai, automation, deepresearch, llms, mcp, mcp-server, python, research, search, webscraping","User","Apache License 2.0"
"GitHub","https://github.com/Fosowl/agenticSeek","agenticSeek","Fosowl/agenticSeek","Fully Local Manus AI. No APIs, No $200 monthly bills. Enjoy an autonomous agent that thinks, browses the web, and code for the sole cost of electricity. 🔔 Official updates only via twitter @Martin993886460 (Beware of fake account)","25021","2775","Python","agentic-ai, agents, ai, autonomous-agents, deepseek-r1, llm, llm-agents, voice-assistant","User","GNU General Public License v3.0"
"GitHub","https://github.com/langchain-ai/langgraph","langgraph","langchain-ai/langgraph","Build resilient language agents as graphs.","24801","4326","Python","agents, ai, ai-agents, chatgpt, deepagents, enterprise, framework, gemini, generative-ai, langchain, langgraph, llm, multiagent, open-source, openai, pydantic, python, rag","Organization","MIT License"
"GitHub","https://github.com/ashishpatel26/500-AI-Agents-Projects","500-AI-Agents-Projects","ashishpatel26/500-AI-Agents-Projects","The 500 AI Agents Projects is a curated collection of AI agent use cases across various industries. It showcases practical applications and provides links to open-source projects for implementation, illustrating how AI agents are transforming sectors such as healthcare, finance, education, retail, and more.","24295","4197","null","ai-agents, genai","User","MIT License"
"GitHub","https://github.com/deepset-ai/haystack","haystack","deepset-ai/haystack","Open-source AI orchestration framework for building context-engineered, production-ready LLM applications. Design modular pipelines and agent workflows with explicit control over retrieval, routing, memory, and generation. Built for scalable agents, RAG, multimodal applications, semantic search, and conversational systems.","24225","2611","MDX","agent, agents, ai, gemini, generative-ai, gpt-4, information-retrieval, large-language-models, llm, machine-learning, nlp, orchestration, python, pytorch, question-answering, rag, retrieval-augmented-generation, semantic-search, summarization, transformers","Organization","Apache License 2.0"
"GitHub","https://github.com/mlflow/mlflow","mlflow","mlflow/mlflow","The open source developer platform to build AI agents and models with confidence. Enhance your AI applications with end-to-end tracking, observability, and evaluations, all in one integrated platform.","24211","5296","Python","agentops, agents, ai, ai-governance, apache-spark, evaluation, langchain, llm-evaluation, llmops, machine-learning, ml, mlflow, mlops, model-management, observability, open-source, openai, prompt-engineering","Organization","Apache License 2.0"
"GitHub","https://github.com/zai-org/Open-AutoGLM","Open-AutoGLM","zai-org/Open-AutoGLM","An Open Phone Agent Model & Framework. Unlocking the AI Phone for Everyone","23495","3712","Python","agent, phone-use-agent","Organization","Apache License 2.0"
"GitHub","https://github.com/getzep/graphiti","graphiti","getzep/graphiti","Build Real-Time Knowledge Graphs for AI Agents","22859","2253","Python","agents, graph, llms, rag","Organization","Apache License 2.0"
"GitHub","https://github.com/vanna-ai/vanna","vanna","vanna-ai/vanna","🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using Agentic Retrieval 🔄.","22689","2189","Python","agent, ai, data-visualization, database, llm, rag, sql, text-to-sql","Organization","MIT License"
"GitHub","https://github.com/RooCodeInc/Roo-Code","Roo-Code","RooCodeInc/Roo-Code","Roo Code gives you a whole dev team of AI agents in your code editor.","22253","2967","TypeScript","","Organization","Apache License 2.0"
"GitHub","https://github.com/vercel/ai","ai","vercel/ai","The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents ","21829","3831","TypeScript","anthropic, artificial-intelligence, gemini, generative-ai, generative-ui, javascript, language-model, llm, nextjs, openai, react, svelte, typescript, vercel, vue","Organization","Other"
"GitHub","https://github.com/mastra-ai/mastra","mastra","mastra-ai/mastra","From the team behind Gatsby, Mastra is a framework for building AI-powered applications and agents with a modern TypeScript stack.","21157","1559","TypeScript","agents, ai, chatbots, evals, javascript, llm, mcp, nextjs, nodejs, reactjs, tts, typescript, workflows","Organization","Other"
"GitHub","https://github.com/letta-ai/letta","letta","letta-ai/letta","Letta is the platform for building stateful agents: AI with advanced memory that can learn and self-improve over time.","21149","2205","Python","ai, ai-agents, llm, llm-agent","Organization","Apache License 2.0"
"GitHub","https://github.com/activepieces/activepieces","activepieces","activepieces/activepieces","AI Agents & MCPs & AI Workflow Automation • (~400 MCP servers for AI agents) • AI Automation / AI Agent with MCPs • AI Workflows & AI Agents • MCPs for AI Agents","20856","3302","TypeScript","ai-agent, ai-agent-tools, ai-agents, ai-agents-framework, mcp, mcp-server, mcp-tools, mcps, n8n-alternative, no-code-automation, workflow, workflow-automation, workflows","Organization","Other"
"GitHub","https://github.com/oraios/serena","serena","oraios/serena","A powerful coding agent toolkit providing semantic retrieval and editing capabilities (MCP server & other integrations)","20327","1367","Python","agent, ai, ai-coding, claude, claude-code, language-server, llms, mcp-server, programming, vibe-coding","Organization","MIT License"
"GitHub","https://github.com/qax-os/excelize","excelize","qax-os/excelize","Go language library for reading and writing Microsoft Excel™ (XLAM / XLSM / XLSX / XLTM / XLTX) spreadsheets","20296","1870","Go","agent, ai, analytics, chart, ecma-376, excel, excelize, formula, go, mcp, microsoft, office, ooxml, spreadsheet, statistics, table, vba, visualization, xlsx, xml","Organization","BSD 3-Clause "New" or "Revised" License"
"GitHub","https://github.com/charmbracelet/crush","crush","charmbracelet/crush","Glamourous agentic coding for all 💘","20096","1237","Go","agentic-ai, ai, llms, ravishing","Organization","Other"
"GitHub","https://github.com/NirDiamant/GenAI_Agents","GenAI_Agents","NirDiamant/GenAI_Agents","This repository provides tutorials and implementations for various Generative AI Agent techniques, from basic to advanced. It serves as a comprehensive guide for building intelligent, interactive AI systems.","19993","3326","Jupyter Notebook","agents, ai, genai, langchain, langgraph, llm, llms, openai, tutorials","User","Other"
"GitHub","https://github.com/bytedance/deer-flow","deer-flow","bytedance/deer-flow","An open-source SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skills and subagents, it handles different levels of tasks that could take minutes to hours.","19974","2507","TypeScript","agent, agentic, agentic-framework, agentic-workflow, ai, ai-agents, bytedance, deep-research, harness, langchain, langgraph, langmanus, llm, multi-agent, nodejs, podcast, python, superagent, typescript","Organization","MIT License"
"GitHub","https://github.com/coze-dev/coze-studio","coze-studio","coze-dev/coze-studio","An AI agent development platform with all-in-one visual tools, simplifying agent creation, debugging, and deployment like never before. Coze your way to AI Agent creation.","19877","2833","TypeScript","agent, agent-platform, ai-plugins, chatbot, chatbot-framework, coze, coze-platform, generative-ai, go, kouzi, low-code-ai, multimodel-ai, no-code, rag, studio, typescript, workflow","Organization","Apache License 2.0"
"GitHub","https://github.com/kortix-ai/suna","suna","kortix-ai/suna","Kortix – build, manage and train AI Agents.","19363","3357","TypeScript","ai, ai-agents, llm","Organization","Other"
"GitHub","https://github.com/openai/openai-agents-python","openai-agents-python","openai/openai-agents-python","A lightweight, powerful framework for multi-agent workflows","18989","3165","Python","agents, ai, framework, llm, openai, python","Organization","MIT License"
"GitHub","https://github.com/QwenLM/qwen-code","qwen-code","QwenLM/qwen-code","An open-source AI agent that lives in your terminal.","18589","1630","TypeScript","","Organization","Apache License 2.0"
"GitHub","https://github.com/SWE-agent/SWE-agent","SWE-agent","SWE-agent/SWE-agent","SWE-agent takes a GitHub issue and tries to automatically fix it, using your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024] ","18498","1987","Python","agent, agent-based-model, ai, cybersecurity, developer-tools, llm, lms","Organization","MIT License"
"GitHub","https://github.com/dzhng/deep-research","deep-research","dzhng/deep-research","An AI-powered research assistant that performs iterative, deep research on any topic by combining search engines, web scraping, and large language models.  The goal of this repo is to provide the simplest implementation of a deep research agent - e.g. an agent that can refine its research direction overtime and deep dive into a topic.","18455","1897","TypeScript","agent, ai, gpt, o3-mini, research","User","MIT License"
"GitHub","https://github.com/humanlayer/12-factor-agents","12-factor-agents","humanlayer/12-factor-agents","What are the principles we can use to build LLM-powered software that is actually good enough to put in the hands of production customers?","18231","1385","TypeScript","12-factor, 12-factor-agents, agents, ai, context-window, framework, llms, memory, orchestration, prompt-engineering, rag","Organization","Other"
"GitHub","https://github.com/eosphoros-ai/DB-GPT","DB-GPT","eosphoros-ai/DB-GPT","AI Native Data App Development framework with AWEL(Agentic Workflow Expression Language) and Agents","18135","2560","Python","agents, bgi, database, deepseek, gpt, gpt-4, hacktoberfest, llm, private, rag, security, vicuna","Organization","MIT License"
"GitHub","https://github.com/transitive-bullshit/agentic","agentic","transitive-bullshit/agentic","Your API ⇒ Paid MCP. Instantly.","18125","2244","TypeScript","agents, ai, llms, openai","User","Other"
"GitHub","https://github.com/google/adk-python","adk-python","google/adk-python","An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.","17797","2926","Python","agent, agentic, agentic-ai, agents, agents-sdk, ai, ai-agents, aiagentframework, genai, genai-chatbot, llm, llms, multi-agent, multi-agent-systems, multi-agents, multi-agents-collaboration","Organization","Apache License 2.0"
"GitHub","https://github.com/arc53/DocsGPT","DocsGPT","arc53/DocsGPT","Private AI platform for agents, assistants and enterprise search. Built-in Agent Builder, Deep research, Document analysis, Multi-model support, and API connectivity for agents.","17707","1991","Python","agent-builder, agents, ai, chatgpt, docsgpt, hacktoberfest, hacktoberfest2025, information-retrieval, language-model, llm, machine-learning, natural-language-processing, python, pytorch, rag, react, search, semantic-search, transformers","Organization","MIT License"
"GitHub","https://github.com/elizaOS/eliza","eliza","elizaOS/eliza","Autonomous agents for everyone","17528","5417","TypeScript","agent, agentic, ai, autonomous, chatbot, crypto, discord, eliza, elizaos, framework, plugins, rag, slack, swarm, telegram","Organization","MIT License"
"GitHub","https://github.com/TransformerOptimus/SuperAGI","SuperAGI","TransformerOptimus/SuperAGI","<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably.","17179","2156","Python","agents, agi, ai, artificial-general-intelligence, artificial-intelligence, autonomous-agents, gpt-4, hacktoberfest, llm, llmops, nextjs, openai, pinecone, python, superagi","Organization","MIT License"
"GitHub","https://github.com/AstrBotDevs/AstrBot","AstrBot","AstrBotDevs/AstrBot","Agentic IM Chatbot infrastructure that integrates lots of IM platforms, LLMs, plugins and AI features. Your openclaw alternative. ✨","16521","1301","Python","agent, ai, chatbot, chatgpt, docker, gemini, gpt, llama, llm, mcp, openai, python, qq, qqbot, qqchannel, telegram","Organization","GNU Affero General Public License v3.0"
"GitHub","https://github.com/mayooear/ai-pdf-chatbot-langchain","ai-pdf-chatbot-langchain","mayooear/ai-pdf-chatbot-langchain","AI PDF chatbot agent built with LangChain & LangGraph ","16356","3228","TypeScript","agents, ai, chatbot, langchain, langgraph, nextjs, openai, pdf, typescript","User","MIT License"
"GitHub","https://github.com/raga-ai-hub/RagaAI-Catalyst","RagaAI-Catalyst","raga-ai-hub/RagaAI-Catalyst","Python SDK for Agent AI Observability, Monitoring and Evaluation Framework. Includes features like agent, llm and tools tracing, debugging multi-agentic system, self-hosted dashboard and advanced analytics with timeline and execution graph view ","16099","3651","Python","agentic-ai, agentic-ai-development, agentneo, agents, ai-agent-monitoring, ai-application-debugging, ai-evaluation-tools, ai-performance-optimization, ai-tool-interaction-monitoring, llm-testing, llm-tracing, llmops","Organization","Apache License 2.0"
"GitHub","https://github.com/camel-ai/camel","camel","camel-ai/camel","🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org","16038","1779","Python","agent, ai-societies, artificial-intelligence, communicative-ai, cooperative-ai, deep-learning, large-language-models, multi-agent-systems, natural-language-processing","Organization","Apache License 2.0"
"GitHub","https://github.com/browser-use/web-ui","web-ui","browser-use/web-ui","🖥️ Run AI Agent in your browser.","15598","2684","Python","","Organization","MIT License"
"GitHub","https://github.com/Kilo-Org/kilocode","kilocode","Kilo-Org/kilocode","Kilo is the all-in-one agentic engineering platform. Build, ship, and iterate faster with the most popular open source coding agent. #1 on OpenRouter. 1.5M+ Kilo Coders. 25T+ tokens processed","15548","2006","TypeScript","ai, ai-age, ai-coding, ai-developer-tools, chatgpt, claude, cli, gemini, jetbrains, sonnet, vscode, vscode-extension","Organization","Apache License 2.0"
"GitHub","https://github.com/VectifyAI/PageIndex","PageIndex","VectifyAI/PageIndex","📑 PageIndex: Document Index for Vectorless, Reasoning-based RAG","15453","1120","Python","agent, agentic-ai, ai, context-engineering, llm, rag, reasoning, retrieval","Organization","MIT License"
